Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Proposed In-Service Date,Proposed Initial-Sync Date,Last Updated Date,Z,S,Availability of Studies,SGIA Tender Date
1254,Barrett Hempstead Battery Storage,Barrett Hempstead Battery Storage,Nassau,NY,Barrett to Long Beach 33 kV circuit No 1(33-224),LIPA,Energy Storage,40.0,40,40,2021-09-22,Withdrawn,,2025-12-31 00:00:00,,,,,,K,0.0,,
1256,Canal Southampton Battery Storage,Canal Southampton Battery Storage,Suffolk,NY,Canal Substation 138kV,LIPA,Energy Storage,100.0,100,100,2021-09-22,Withdrawn,,2025-01-31 00:00:00,,,,,,K,0.0,,
1258,Deerpark Energy Storage,Oriden LLC,Orange,NY,Deerpark 69 kV ,O&R,Energy Storage,50.0,50,50,2021-09-22,Withdrawn,,2022-02-28 00:00:00,,,,,,G,0.0,,
1259,Middletown Energy Storage,Oriden LLC,Orange,NY,Shoemaker 69 kV ,O&R,Energy Storage,50.0,50,50,2021-09-22,Withdrawn,,2021-11-30 00:00:00,,,,,,G,0.0,,
1260,St. Regis River,BW Solar Holding,St. Lawrence,NY,Dennison - Colton 115kV line #4,NM-NG,,85.0,85,85,2021-09-23,Withdrawn,,2024-05-31 00:00:00,,,,,,E,0.0,,
1261,EI Sunset Park 2,Empire Offshore Wind LLC,Kings,NY,Gowanus 345 kV,ConEd,Wind,48.0,48,48,2021-09-24,Withdrawn,,2023-02-28 00:00:00,,,,,,J,0.0,,
1262,Brunswick Energy Storage,East Coast Power LLC,Union,NJ,Goethals 345kV,ConEd,Energy Storage,165.0,150,165,2021-09-24,Withdrawn,,2022-01-31 00:00:00,,,,,,J,0.0,,
1263,Ravenswood Energy Storage 4,Ravenswood Energy Storage 4,Queens,NY,Vernon 138kV,ConEd,Energy Storage,12.0,12,12,2021-09-27,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
1264,ELP Claverack Solar II LLC,ELP Claverack Solar II LLC,Columbia,NY,Hudson - Churchtown 115kV,NYTransco/ NM-NG,,20.0,20,20,2021-09-27,Withdrawn,,2022-01-31 00:00:00,,,,,,F,0.0,,
1265,Monticello Hills Wind,Liberty Renewables Inc.,Otsego,NY,West Winfield - Richfield Springs 46 kV Line #812,NYSEG,Wind,31.5,31.5,31.5,2021-09-28,Withdrawn,,2024-11-30 00:00:00,,,,,,E,0.0,,
1266,Rust Street 21.8MW ESS,"Microgrid Networks, LLC",Queens,NY,Glendale 27kV,ConEd,Energy Storage,22.8,21.8,22.8,2021-09-28,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
1267,Rust Street 20 MW ESS Project,"Microgrid Networks, LLC",Queens,NY,Glendale 27kV,ConEd,Energy Storage,20.0,20,20,2021-09-28,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
1268,1st Avenue 20 MW ESS Project,"Microgrid Networks, LLC",Kings,NY,,ConEd,Energy Storage,20.0,20,20,2021-09-28,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
1269,The Bruckner,"174 Power Global Properties, LLC",Bronx,NY,,ConEd,Energy Storage,11.6,11.6,11.6,2021-09-28,Withdrawn,,2021-11-30 00:00:00,,,,,,J,0.0,,
