Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,facilityType,Post Generator Interconnection Agreement Status,Interconnection Approval Date,inService,giaToExec,studyCycle,studyGroup,studyPhase,svcType,dp1ErisMw,dp1NrisMw,dp2ErisMw,dp2NrisMw,sisPhase1
J2388,,,Macon,IL,Faraday,AMEREN TRANSMISSION COMPANY OF ILLINOIS,Hybrid,200.0,200.0,200.0,2022-09-15T04:00:00+00:00,Active,,,,,Solar/Battery,Not Started,,2028-09-30T04:00:00+00:00,,DPP-2022,Central,Phase 2,ERIS,200.0,0.0,0.0,0.0,
J2474,,,Sangamon,IL,4AUSTIN - 4VIRDEN   138.0kV,AMEREN ILLINOIS,Hybrid,100.0,100.0,100.0,2022-09-15T04:00:00+00:00,Active,,,,,Solar/Battery,Not Started,,2028-09-30T04:00:00+00:00,,DPP-2022,Central,Phase 2,ERIS,100.0,0.0,0.0,0.0,
J2383,,,Macon,IL,Faraday,AMEREN TRANSMISSION COMPANY OF ILLINOIS,Battery Storage,100.0,100.0,100.0,2022-09-15T04:00:00+00:00,Active,,,,,Battery Storage,Not Started,,2027-05-07T04:00:00+00:00,,DPP-2022,Central,Phase 2,NRIS,100.0,100.0,0.0,0.0,
J2393,,,Coles,IL,Kansas West Substation 138kV,AMEREN ILLINOIS,Solar,164.0,164.0,164.0,2023-08-25T04:00:00+00:00,Withdrawn,,2025-10-27T04:00:00+00:00,,,Photovoltaic,Not Started,,2027-09-01T04:00:00+00:00,,DPP-2022,Central,Phase 2,NRIS,0.0,0.0,0.0,0.0,
J2445,,,Greene,IA,Karma 161kV,ITC MIDWEST,Solar,50.0,50.0,50.0,2022-09-15T04:00:00+00:00,Withdrawn,,2023-03-24T04:00:00+00:00,,,Photovoltaic,Not Started,,2025-09-01T04:00:00+00:00,,DPP-2022,West,Phase 1,NRIS,0.0,0.0,0.0,0.0,
J2553,,,Cerro Gordo,IA,Killdeer,ITC MIDWEST,Solar,210.0,210.0,210.0,2022-09-14T04:00:00+00:00,Active,,,,,Photovoltaic,Not Started,,2026-09-01T04:00:00+00:00,,DPP-2022,West,Phase 1,NRIS,210.0,210.0,0.0,0.0,
J2555,,,Ingham,MI,DELHI to TOMPKINS 138kV,,Battery Storage,100.0,100.0,100.0,2023-08-28T04:00:00+00:00,Active,,,,,Battery Storage,Not Started,,2026-09-01T04:00:00+00:00,,DPP-2022,East (ITC),Phase 1,NRIS,100.0,100.0,0.0,0.0,
J2377,,,Peoria,IL,7CLINTON  - 7BROKAW 345.0kV,AMEREN ILLINOIS,Battery Storage,300.0,300.0,300.0,2024-11-07T05:00:00+00:00,Active,,,,,Battery Storage,Not Started,,2028-04-01T04:00:00+00:00,,DPP-2022,Central,Phase 2,NRIS,300.0,300.0,0.0,0.0,
J2394,,,Craighead,AR,Independence ISES - Powerline Road 500 kV,"ENTERGY ARKANSAS, LLC EATO",Hybrid,200.0,200.0,200.0,2022-09-15T04:00:00+00:00,Withdrawn,,2023-03-24T04:00:00+00:00,,,Solar/Battery,Not Started,,2025-05-31T04:00:00+00:00,,DPP-2022,South,Phase 1,ERIS,0.0,0.0,0.0,0.0,
J2396,,,Calhoun,AR,SHERIDAN EHV - EL DORADO EHV 500.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,400.0,400.0,400.0,2022-09-15T04:00:00+00:00,Active,,,,,Photovoltaic,Not Started,,2025-05-31T04:00:00+00:00,,DPP-2022,South,Phase 1,ERIS,400.0,0.0,0.0,0.0,
J2447,,,Murray,MN,Cedar Mountain - Lyon County 345.0kV,NORTHERN STATES POWER COMPANY,Wind,200.0,200.0,200.0,2025-10-22T04:00:00+00:00,Active,,,,,Wind Turbine,Not Started,,2027-09-01T04:00:00+00:00,,DPP-2022,West,Phase 1,NRIS,200.0,200.0,0.0,0.0,
J2457,,,Orleans,LA,PATERSON,"ENTERGY NEW ORLEANS, LLC ENTO",Battery Storage,40.0,40.0,40.0,2022-09-15T04:00:00+00:00,Active,,,,,Battery Storage,Not Started,,2025-11-01T04:00:00+00:00,,DPP-2022,South,Phase 1,NRIS,40.0,40.0,0.0,0.0,
