Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Proposed Completion Date,iso,outcome,Status,Withdrawn Date,Actual Completion Date,Withdrawal Comment,queue_date,queue_year,capacity_mw,resolved
J3305,,,Adams,IA,Other_,MIDAMERICAN ENERGY CO. MEC,Solar,150.0,150.0,150.0,2024-04-17T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-01-17T05:00:00+00:00,,,2024-04-17 04:00:00+00:00,2024.0,150.0,True
J1030,,,Polk County,TX,Poco - Menard 138kV Line Tao,"ENTERGY TEXAS, INC.",Solar,150.0,150.0,150.0,2018-03-12T04:00:00+00:00,2023-01-23T05:00:00+00:00,MISO,built,Done,,,,2018-03-12 04:00:00+00:00,2018.0,150.0,True
J3303,,,Prairie,AR,WEST MEMPHIS EHV - KEO EHV 500.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,400.0,400.0,400.0,2024-04-17T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-23T05:00:00+00:00,,,2024-04-17 04:00:00+00:00,2024.0,400.0,True
J3304,,,Clark,AR,ETTA - MCNEIL EHV 500.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,350.0,350.0,350.0,2024-04-17T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-23T05:00:00+00:00,,,2024-04-17 04:00:00+00:00,2024.0,350.0,True
J1034,,,Stoddard County,MO,Stoddard - Morley 161kV Line Tap,Ameren Missouri,Solar,225.0,225.0,225.0,2018-03-12T04:00:00+00:00,2024-06-01T04:00:00+00:00,MISO,built,Done,,,,2018-03-12 04:00:00+00:00,2018.0,225.0,True
J1036,,,Cottonwood County,MN,Lakefield Generation SW 345kV Substation,Xcel Energy,Solar,130.0,130.0,130.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-02-15T05:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,130.0,True
J1013,,,Branch County,MI,Batavia 138kV Substation,METC,Solar,80.0,80.0,80.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-12-02T05:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,80.0,True
J1014,,,Jackson County,MI,Tompkins - Blackstone 138kV Line,METC,Solar,80.0,80.0,80.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-12-02T05:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,80.0,True
J1039,,,Warren County,MO,Enon - Montogomery 345kV Line Tap,AMEREN MISSOURI,Battery Storage,50.0,50.0,50.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2021-03-10T05:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,50.0,True
J1047,,,Walworth County,WI,North Lake Geneva - Sugar Creek - Burlington 138kV Line Tap,American Transmission Co. LLC,Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-10-24T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,200.0,True
J1053,,,Jefferson County,WI,Concord SW YD 138 kV Substation,American Transmission Co. LLC,Solar,300.0,300.0,300.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2020-05-19T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,300.0,True
J1080,,,"DeWitt County,McLean County",IL,Brokaw - Clinton 345kV Line Tap,AMEREN ILLINOIS,Wind,99.0,99.0,99.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-03-22T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,99.0,True
J1032,,,Wabasha County,MN,Briggs Rd. - N. Rochester 345 kV Line Tap,NORTHERN STATES POWER COMPANY,Battery Storage,50.0,50.0,50.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2020-03-25T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,50.0,True
J1033,,,Stoddard County,MO,Stoddard - Morely 161 kV Line Tap,AMEREN MISSOURI,Battery Storage,50.0,50.0,50.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2021-03-10T05:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,50.0,True
J1011,,,"Kenosha County,Racine County",WI,Arcadian - Zion 345kV Line Tap,American Transmission Co. LLC,Solar,400.0,400.0,400.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2020-05-19T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,400.0,True
J1043,,,Montcalm County,MI,Vergennes - Nelson Rd 345 kV Line Tap,METC,Wind,374.4,374.4,374.4,2018-03-12T04:00:00+00:00,2024-05-31T04:00:00+00:00,MISO,withdrawn,Withdrawn,2023-02-09T05:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,374.4,True
J3300,,,Craighead,AR,CASH - NEWPORT AB 161.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,200.0,200.0,200.0,2024-04-17T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-23T05:00:00+00:00,,,2024-04-17 04:00:00+00:00,2024.0,200.0,True
J3232,,,Vermillion,IN,CAYUGA STATION,"DUKE ENERGY INDIANA, LLC CIN",Gas,500.0,500.0,500.0,2024-04-11T04:00:00+00:00,,MISO,active,Active,,,,2024-04-11 04:00:00+00:00,2024.0,500.0,False
J1044,,,Walworth County,WI,North Lake Geneva - Sugar Creek - Burlington 138kV Line Tap,American Transmission Co. LLC,Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-10-24T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,200.0,True
J1038,,,Grant County,MN,Grant Co. - E. Fergus Falls - Hoot Lake 115 kV Line Tap,OTTER TAIL POWER COMPANY OTPW,Solar,32.5,32.5,32.5,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2020-03-25T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,32.5,True
J1041,,,Jackson County,MN,Brewster - Heron Lake 161 kV Line,ITC MIDWEST,Battery Storage,20.0,20.0,20.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2020-03-25T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,20.0,True
J1042,,,Walworth County,WI,North Lake Geneva 138kV Substation,American Transmission Co. LLC,Solar,200.0,200.0,200.0,2018-03-09T05:00:00+00:00,2023-09-15T04:00:00+00:00,MISO,withdrawn,Withdrawn,2023-08-09T04:00:00+00:00,,,2018-03-09 05:00:00+00:00,2018.0,200.0,True
J1012,,,Scott County,IL,Jacksonville Ind. Park - Winchester 138kV Line Tap,"PRAIRIE POWER, INC. PPI",Solar,100.0,100.0,100.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-03-28T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,100.0,True
J1037,,,Murray County,MN,Moon Lake 69kV Substation,GREAT RIVER ENERGY,Battery Storage,15.0,15.0,15.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2019-08-15T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,15.0,True
J1017,,,"Carroll County,White County",IN,Springboro 138 kV Substation,"DUKE ENERGY INDIANA, LLC PSI",Wind,125.0,125.0,125.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2018-10-03T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,125.0,True
J1018,,,Miami County,IN,Peru South East - Greentown 230 kV Line Tap,"DUKE ENERGY INDIANA, LLC PSI",Wind,150.0,150.0,150.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2018-10-03T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,150.0,True
J1051,,,Jefferson County,WI,Concord 138kV Substation,American Transmission Co. LLC,Battery Storage,50.0,50.0,50.0,2018-03-12T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2020-05-19T04:00:00+00:00,,,2018-03-12 04:00:00+00:00,2018.0,50.0,True
J1062,,,Washtenaw County,MI,Majestic - Lemoyne 345 kV Line Tap,ITC MIDWEST,Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,2023-06-01T04:00:00+00:00,MISO,built,Done,,,,2018-03-12 04:00:00+00:00,2018.0,200.0,True
